iter	Passed	Remaining
0	337	337266
1	510	254949
2	703	233809
3	886	220826
4	1075	214062
5	1269	210266
6	1467	208209
7	1661	206065
8	1854	204198
9	2037	201718
10	2204	198214
11	2362	194477
12	2507	190412
13	2661	187455
14	2810	184556
15	2960	182086
16	3110	179832
17	3262	177991
18	3423	176770
19	3578	175353
20	3737	174224
21	3891	173010
22	4045	171837
23	4208	171125
24	4360	170055
25	4522	169412
26	4697	169285
27	4900	170124
28	5122	171531
29	5318	171972
30	5526	172754
31	5717	172949
32	5917	173399
33	6120	173892
34	6319	174247
35	6519	174566
36	6725	175037
37	6910	174940
38	7111	175241
39	7316	175590
40	7515	175784
41	7710	175875
42	7970	177386
43	8198	178129
44	8413	178555
45	8653	179469
46	8863	179716
47	9069	179884
48	9327	181029
49	9539	181245
50	9738	181220
51	9939	181196
52	10120	180827
53	10314	180701
54	10543	181149
55	10775	181638
56	10997	181934
57	11238	182535
58	11510	183584
59	11757	184195
60	11972	184304
61	12188	184405
62	12404	184495
63	12610	184431
64	12817	184373
65	13020	184253
66	13230	184238
67	13416	183888
68	13603	183547
69	13782	183114
70	13976	182879
71	14166	182593
72	14358	182330
73	14543	181993
74	14734	181720
75	14937	181603
76	15127	181327
77	15327	181175
78	15515	180882
79	15718	180763
80	15913	180548
81	16115	180420
82	16317	180281
83	16507	180011
84	16716	179943
85	16915	179773
86	17108	179538
87	17304	179340
88	17505	179188
89	17694	178915
90	17886	178672
91	18080	178442
92	18272	178207
93	18461	177932
94	18655	177717
95	18856	177564
96	19041	177264
97	19230	177000
98	19421	176759
99	19606	176456
100	19788	176137
101	19974	175855
102	20159	175565
103	20342	175259
104	20544	175118
105	20738	174908
106	20945	174804
107	21144	174637
108	21343	174466
109	21542	174300
110	21742	174133
111	21955	174076
112	22178	174092
113	22361	173793
114	22557	173593
115	22771	173536
116	23057	174012
117	23291	174094
118	23516	174098
119	23739	174087
120	23982	174222
121	24206	174210
122	24426	174160
123	24639	174066
124	24841	173890
125	25045	173731
126	25260	173637
127	25449	173374
128	25634	173079
129	25820	172802
130	26006	172514
131	26195	172255
132	26384	171993
133	26575	171746
134	26775	171558
135	26972	171357
136	27164	171113
137	27367	170947
138	27566	170752
139	27752	170479
140	27937	170200
141	28123	169926
142	28321	169731
143	28510	169476
144	28703	169251
145	28912	169116
146	29115	168948
147	29294	168641
148	29488	168422
149	29699	168295
150	29891	168067
151	30087	167856
152	30292	167698
153	30513	167624
154	30859	168231
155	31191	168755
156	31468	168970
157	31844	169702
158	32187	170247
159	32422	170217
160	32662	170209
161	32896	170168
162	33114	170043
163	33341	169961
164	33584	169958
165	33808	169855
166	34033	169759
167	34252	169633
168	34488	169586
169	34723	169532
170	34959	169479
171	35187	169390
172	35375	169106
173	35588	168941
174	35816	168847
175	36013	168607
176	36218	168405
177	36423	168201
178	36625	167984
179	36834	167800
180	37035	167578
181	37263	167479
182	37460	167242
183	37641	166930
184	37854	166766
185	38048	166513
186	38222	166173
187	38430	165988
188	38656	165875
189	38887	165785
190	39096	165597
191	39294	165363
192	39505	165186
193	39730	165064
194	39930	164839
195	40145	164677
196	40446	164866
197	40721	164942
198	40950	164832
199	41174	164697
200	41385	164511
201	41635	164479
202	41859	164346
203	42067	164146
204	42303	164056
205	42538	163958
206	42731	163699
207	42947	163528
208	43167	163376
209	43378	163184
210	43596	163020
211	43814	162858
212	44029	162681
213	44271	162606
214	44530	162587
215	44765	162482
216	44996	162361
217	45234	162264
218	45497	162253
219	45722	162106
220	45976	162063
221	46196	161894
222	46425	161761
223	46679	161711
224	46919	161610
225	47141	161450
226	47381	161347
227	47705	161528
228	48034	161723
229	48446	162190
230	48772	162365
231	49053	162383
232	49323	162366
233	49615	162417
234	49936	162560
235	50208	162540
236	50465	162469
237	50711	162362
238	50968	162288
239	51262	162332
240	51610	162541
241	51901	162567
242	52159	162488
243	52391	162327
244	52634	162200
245	52889	162107
246	53148	162027
247	53406	161941
248	53652	161818
249	53900	161701
250	54148	161581
251	54421	161538
252	54698	161501
253	54943	161368
254	55207	161292
255	55485	161255
256	55753	161186
257	56022	161118
258	56296	161065
259	56542	160928
260	56778	160763
261	57068	160750
262	57316	160617
263	57569	160495
264	57829	160393
265	58081	160271
266	58372	160249
267	58756	160483
268	59113	160639
269	59365	160507
270	59671	160518
271	59913	160355
272	60194	160297
273	60493	160285
274	60767	160204
275	61019	160065
276	61292	159979
277	61563	159888
278	61830	159785
279	62087	159653
280	62306	159426
281	62558	159280
282	62810	159134
283	63083	159041
284	63355	158944
285	63612	158807
286	63853	158632
287	64096	158460
288	64331	158269
289	64557	158053
290	64820	157929
291	65083	157805
292	65379	157758
293	65626	157592
294	65880	157443
295	66121	157261
296	66379	157119
297	66653	157015
298	66897	156838
299	67242	156899
300	67628	157050
301	67903	156941
302	68224	156938
303	68508	156847
304	68881	156959
305	69141	156812
306	69398	156656
307	69647	156480
308	69916	156350
309	70168	156182
310	70427	156026
311	70725	155958
312	71028	155898
313	71337	155852
314	71567	155630
315	71824	155468
316	72076	155293
317	72311	155083
318	72536	154850
319	72790	154680
320	73029	154476
321	73290	154319
322	73547	154153
323	73797	153972
324	74051	153799
325	74290	153594
326	74553	153438
327	74807	153263
328	75040	153047
